codigo;nombre;precio;departamento;unidad
1001;Aguacate;90.0;Favoritos;GRANEL
1014;Ajo;160.0;Verdura;GRANEL
1003;Alitas Adobadas/Naturales;130.0;Carniceria;GRANEL
1005;Apio;50.0;Verdura;GRANEL
1009;Barra De Mantequilla;11.0;Favoritos;UNIDAD
1015;Calabaza;30.0;Verdura;GRANEL
1084;Camaron Crudo Mediano;240.0;Carniceria;GRANEL
1016;Carne Para Hamburguesa;70.0;Carniceria;UNIDAD
1018;Cartera De Huevo;95.0;Carnes Frias;UNIDAD
1019;Cebolla;20.0;Favoritos;GRANEL
1021;Chicharron;220.0;Carnes Frias;GRANEL
1153;Chicharron Prensado;180.0;Carniceria;GRANEL
1024;Chile California;60.0;Verdura;GRANEL
1022;Chile Habanero;180.0;Verdura;GRANEL
1028;Chile Jalapeño;25.0;Favoritos;GRANEL
1887;Chile Poblano;80.0;Verdura;GRANEL
1032;Chile Serrano;32.0;Verdura;GRANEL
1368;Chiles Curtidos Sueltos;80.0;Carnes Frias;GRANEL
1033;Chorizo Bola;10.0;Carnes Frias;UNIDAD
1034;Chorizo Casero;180.0;Carnes Frias;GRANEL
7501518481242;Chorizo Ranchero Dixie 250g;23.0;Carnes Frias;UNIDAD
1181;Chuleta 2;460.0;Combos;UNIDAD
1187;Chuleta 3;620.0;Combos;UNIDAD
1035;Chuleta Ahumada;150.0;Favoritos;GRANEL
1037;Chuleta De Res;180.0;Carniceria;GRANEL
1038;Cilantro;200.0;Verdura;GRANEL
1017;Cocido Mixto;160.0;Carniceria;GRANEL
1039;Colita De Pavo;200.0;Carniceria;GRANEL
1193;Combo Discada;170.0;Combos;UNIDAD
1045;Combo Hamburguesa;205.0;Combos;UNIDAD
1205;Combo Hot-Dog;125.0;Combos;UNIDAD
1169;Combo Pastor;195.0;Combos;UNIDAD
7501642300907;Crema Vegetal Sello Dorado 1k;37.0;Carnes Frias;UNIDAD
2298;Cuerito Curtido Suelto;60.0;Carnes Frias;GRANEL
1054;Cueritos En Bolsa;10.0;Carnes Frias;UNIDAD
1056;Deshebrada Cocida;220.0;Favoritos;GRANEL
1057;Discada;120.0;Favoritos;GRANEL
1301;Durazno;40.0;Verdura;GRANEL
1080;Empanizados;210.0;Carniceria;GRANEL
1105;Espinazo De Puerco;50.0;Carniceria;UNIDAD
1898;Fajita De Pollo;145.0;Carniceria;GRANEL
1067;Filete De Pescado Tilapia;100.0;Carniceria;GRANEL
7500464866417;Flautas Zumaya De Carne;49.0;Carnes Frias;UNIDAD
7500464866400;Flautas Zumaya Mixtas;49.0;Carnes Frias;UNIDAD
1063;Frijol Cocido;17.0;Favoritos;UNIDAD
1069;Higado;60.0;Carniceria;GRANEL
1071;Huevo;4.0;Favoritos;UNIDAD
1072;Jamon;52.0;Favoritos;GRANEL
1073;Lechuga;28.0;Verdura;UNIDAD
1074;Limon;52.0;Favoritos;GRANEL
1262;Mandarina;80.0;Verdura;GRANEL
1216;Mango;50.0;Verdura;GRANEL
1879;Manita De Puerco;58.0;Carniceria;GRANEL
1247;Manteca De Puerco;60.0;Carnes Frias;UNIDAD
70100070944;Manteca Morrell;35.0;Carnes Frias;UNIDAD
1075;Manzana;50.0;Verdura;GRANEL
1059;Menudo;97.0;Carniceria;GRANEL
1078;Molida;130.0;Favoritos;GRANEL
1079;Naranja;45.0;Verdura;GRANEL
1341;Nopales;20.0;Verdura;UNIDAD
1052;Nuggets Y Hamburguesa De Pollo;150.0;Carniceria;GRANEL
1082;Papa;20.0;Verdura;GRANEL
1083;Papa Congelada;90.0;Carnes Frias;GRANEL
1002;Pastor;140.0;Favoritos;GRANEL
1085;Pechuga De Pollo Natural;145.0;Carniceria;GRANEL
1890;Pechuga Empanizada;65.0;Carniceria;GRANEL
1086;Pepino;36.0;Verdura;GRANEL
1027;Pepperoni;220.0;Carnes Frias;KG
1154;Pera;65.0;Verdura;GRANEL
1382;Pescado P/Caldo;50.0;Carniceria;GRANEL
1087;Platano;30.0;Verdura;GRANEL
1088;Pollo;40.0;Carniceria;GRANEL
7503010043010;Pozole Nixtamalizado 900g;23.0;Carnes Frias;UNIDAD
1089;Puerco;110.0;Favoritos;GRANEL
1090;Pulpa Picada O Rebanada;160.0;Favoritos;GRANEL
1091;Queso;140.0;Favoritos;GRANEL
1092;Queso Amarillo Pieza;2.0;Carnes Frias;UNIDAD
7501642304004;Queso Para Nachos Sello Dorado 1kg;42.0;Carnes Frias;UNIDAD
1093;Repollo;22.0;Verdura;GRANEL
1095;Salchichon;52.0;Favoritos;GRANEL
1096;Salsa Casera;23.0;Carnes Frias;UNIDAD
1098;Tocino;200.0;Carnes Frias;GRANEL
1099;Tomate;38.0;Favoritos;GRANEL
1100;Tomatillo;38.0;Verdura;GRANEL
1101;Winny;52.0;Favoritos;GRANEL
1103;Zanahoria;28.0;Verdura;GRANEL
