_source_file,Código,Producto,P. Costo,P. Venta,P. Mayoreo,Departamento,Existencia,Inv. Mínimo,Inv. Máximo,Tipo de Venta,Proveedor,IVA,IEPS
CarnesFrias.xlsx,1009,Barra De Mantequilla,$8.50,$12.00,$0.00,Carnes Frias,1785,0,0,UNIDAD,,,
CarnesFrias.xlsx,1021,Chicharron,$250.00,$300.00,$0.00,Carnes Frias,90.388,0,0,GRANEL,,,
CarnesFrias.xlsx,1027,Peperoni,$180.00,$220.00,$0.00,Carnes Frias,175.630,0,0,GRANEL,,,
CarnesFrias.xlsx,1033,Chorizo Bola,$4.45,$10.00,$0.00,Carnes Frias,1241,0,0,UNIDAD,,,
CarnesFrias.xlsx,1034,Chorizo Casero,$100.00,$180.00,$0.00,Carnes Frias,177.639,0,0,GRANEL,,,
CarnesFrias.xlsx,1054,Cueritos En Bolsa,$8.00,$10.00,$0.00,Carnes Frias,148,0,0,UNIDAD,,,
CarnesFrias.xlsx,1055,Chorizo Bola Grande,$12.00,$18.00,$0.00,Carnes Frias,198,0,0,UNIDAD,,,
CarnesFrias.xlsx,1063,Frijol Cocido,$15.00,$20.00,$0.00,Carnes Frias,-,-,-,UNIDAD,,,
CarnesFrias.xlsx,1071,Huevo,$1.19,$3.00,$0.00,Carnes Frias,-,-,-,UNIDAD,,,
CarnesFrias.xlsx,1072,Jamon,$39.00,$52.00,$0.00,Carnes Frias,-,-,-,GRANEL,,,
CarnesFrias.xlsx,1083,Papa Congelada,$40.23,$90.00,$0.00,Carnes Frias,152.142,0,0,GRANEL,,,
CarnesFrias.xlsx,1091,Queso,$118.53,$140.00,$0.00,Carnes Frias,1636.698,0,0,GRANEL,,,
CarnesFrias.xlsx,1092,Queso Amarillo Pieza,$1.50,$2.00,$0.00,Carnes Frias,19253,0,0,UNIDAD,,,
CarnesFrias.xlsx,1095,Salchichon,$39.00,$52.00,$0.00,Carnes Frias,343.704,0,0,GRANEL,,,
CarnesFrias.xlsx,1096,Salsa Casera,$20.00,$25.00,$0.00,Carnes Frias,33,0,0,UNIDAD,,,
CarnesFrias.xlsx,1098,Tocino,$130.00,$180.00,$0.00,Carnes Frias,9.739,0,0,GRANEL,,,
CarnesFrias.xlsx,1101,Winny,$39.00,$52.00,$0.00,Carnes Frias,-,-,-,GRANEL,,,
CarnesFrias.xlsx,1247,Manteca De Puerco,$33.89,$60.00,$0.00,Carnes Frias,5,0,0,UNIDAD,,,
CarnesFrias.xlsx,1368,Chiles Curtidos Sueltos,$22.50,$80.00,$0.00,Carnes Frias,183.594,0,0,GRANEL,,,
CarnesFrias.xlsx,2298,Cuerito Curtido Suelto,$55.00,$80.00,$0.00,Carnes Frias,1934.234,0,0,GRANEL,,,
CarnesFrias.xlsx,70100070944,Manteca Morrell,$26.86,$37.00,$0.00,Carnes Frias,11,0,0,UNIDAD,,,
CarnesFrias.xlsx,7500464866400,Flautas Zumaya Mixtas,$39.00,$49.00,$0.00,Carnes Frias,130,0,0,UNIDAD,,,
CarnesFrias.xlsx,7500464866417,Flautas Zumaya De Carne,$39.00,$49.00,$0.00,Carnes Frias,103,0,0,UNIDAD,,,
CarnesFrias.xlsx,7501518481242,Chorizo Ranchero Dixie 250g,$15.30,$23.00,$0.00,Carnes Frias,114,0,0,UNIDAD,,,
CarnesFrias.xlsx,7501642300907,Crema Vegetal Sello Dorado 1k,$28.50,$37.00,$0.00,Carnes Frias,1973,0,0,UNIDAD,,,
